name,price,color,size,description,image,url
"KK-1154MS 12 Digits Calculator, W 10.4 X D 17.3 X H 1.2 Cm, White",AED 59.00,White,,"Perfect for daily office carrying, business travelling, and at home in daily life application, this 12 digits calculator is ideal for convenient everyday use. The large display allows you to easily see your calculations without straining your eyes. The spacious button size with large fonts ensures effortless operation. Loaded with powerful features, and many functions, this white coloured calculator comes in a dimension of 10.4 x 17.3 x 1.2 cm. Built with a sturdy and premium material, it is strong enough for everyday use.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:839f53bd-43b8-4d78-818d-444a7889fcd3/as/SK-J-4549337355538.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-kk-1154ms-12-digits-calculator-w-104-x-d-173-x-h-12-cm-white-white.html
"Plain Rakugaki Book, 80 Sheets, B5, Neutral",AED 12.00,BROWN,,Note down the points in your classroom or at a meeting with the recycled paper notepad/plain. The smooth papers ensure clear writing without any smudges and bleeding. It is a scribble book that omits wasteful processing and decoration. This B5 size plain Rakugaki book contains 80 sheets of paper.,https://media.alshaya.com/adobe/assets/urn:aaid:aem:9fbfa01b-96f2-4d1c-914c-58b8cc790acc/as/SK-J-4550182111163.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-plain-rakugaki-book-80-sheets-b5-neutral-brown.html
"Plain Rakugaki Book, 40 Sheets, B4, Neutral",AED 12.00,BROWN,,Put your thoughts on paper using the recycled paper notepad/plain that is crafted with smooth papers so that your thoughts flow into words without any hindrance. It is a scribble book that omits wasteful processing and decoration. This B4 size plain Rakugaki book contains 40 sheets of paper.,https://media.alshaya.com/adobe/assets/urn:aaid:aem:8c5f68af-1b02-4334-a6b4-58c17e9a190b/as/SK-J-4550182111170.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-plain-rakugaki-book-40-sheets-b4-neutral-brown.html
"Nylon Mesh Case With Pocket, A5, Black",AED 35.00,Black,,"Ideal for office or home, this Nylon mesh pouch with pocket offer your documents and valuables complete protection. Enabled with an inner pocket, it is convenient to store small items such as notepads and office accessories. Made of light and durable mesh material that allows you to see the contents and manage them easily. The black coloured pouch is ideal for keeping A5 size files.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:98557da1-62df-4db3-b97f-00bd9257f171/as/SK-J-4550182263664.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-nylon-mesh-case-pocket-a5-black-black.html
"Cartridge For Glue Tape, Clear",AED 12.00,Clear,,"Exclusively designed for best performance and enhanced functionality, this cartridge for tape glue comes in handy to dispose of glue tape. Easy to load the glue tape and use it easily, this glue cartridge tape helps in the convenient operation. The compact size makes it easy to carry and easily store in your bag. Made from ABS resin, it is highly durable and long-lasting.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:b0cd932a-e0cd-4e04-a25d-73a635e40e29/as/SK-J-4550182208115.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-cartridge-glue-tape-clear-clear.html
"Paper Notebook, 184 Sheets, 195 X 137 Mm, Brown",AED 19.00,BROWN,,"The notebook pocket size is perfect to take notes or scribble information. Crafted in an approximate size of 195 X 137 mm, this pocket notebook has 184 sheets. It is specially made with a similar binding methodology to the advanced bookbinding procedure to ensure added durability. Featuring a brown cover and high-quality papers, it comes with a ribbon marker to indicate the latest page.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:61c4e0cd-c41b-49ca-a58e-2da0852438ec/as/SK-J-4550182111286.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-paper-notebook-184-sheets-195-x-137-mm-brown-brown.html
"Gel Ink Cap Type Ballpoint Pen, 0.38 Mm, Red",AED 12.00,Red,,"Write beautifully with the gel ink ballpoint pen cap type in your own style and in a special colour that you love. The 0.38 mm tip ensures an exceptionally smooth, comfortable writing experience in vibrant red colour. Made from polypropylene, the visible barrel makes it convenient to know the remaining ink. Featuring a pen cap, this gel ink ballpoint pen can be conveniently kept in the pocket or attached to the book.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:06898339-c6d9-49c7-87ac-9c3077a416d4/as/SK-J-4550002794255.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-cap-type-ballpoint-pen-038-mm-red-red.html
"Soft Polypropylene Pass Case Double-Sided Type, W 7 X L 10.5 Cm, 2 Sheets",AED 19.00,Clear,,"This waterproof and dustproof soft polypropylene pass case double-sided type is great to keep your important paper badges or cards dry, clean and secure. It is a polypropylene pass case that is easy to open and close with excellent closure. Featuring a dimension of 105 x 70 mm it comes in a clear texture that helps to easily see-through and read the pass. Durable and long-lasting, it is made from olefin resin for superior performance.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:9b40ebbb-278f-47ae-adf6-e0b4d9c8dfe3/as/SK-J-4549738958567.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-soft-polypropylene-pass-case-double-sided-type-w-7-x-l-105-cm-2-sheets-clear.html
"Hand Shredder, W 18.2 X L 5 X H 3 Cm, White",AED 49.00,White,,"Practical and durable, this hand shredder helps you to cut the paper you don't want into pieces in seconds. Made from high-quality ABS, This is a hand-cranked straight-cut handy shredder. It is compact and self-supporting and does not take up storage space, making it ideal for carrying. It can be used to shred up to 2 Sheets of copy paper.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:691d1ddd-9fc6-4e1b-94d2-87e52355174c/as/SK-J-4549738915430.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-hand-shredder-w-182-x-l-5-x-h-3-cm-white-white.html
"Polypropylene Glasses & Accessories Case Stand, W 4.4 X D 7 X H 16 Cm, L",AED 25.00,Semi Transparent,,"Offering versatile utility, the polypropylene glasses & accessories case stand is a compact size case that makes it easy to store glasses upright. Also, it is ideal for using as pen stands to keep a pen in style. With its small design, it is easy to carry them around wherever you go. This L size case stand features a dimension of W 4.4 x D 7 x H 16 cm. The semi-transparent finish lets you see through its contents. It is made from superior quality polypropylene that lasts longer with better durability.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:2006183d-ae06-4a50-b86a-07a7fa269f8e/as/SK-J-4549738728757.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-polypropylene-glasses-accessories-case-stand-w-44-x-d-7-x-h-16-cm-l-semi-transparent.html
