name,price,color,size,description,image,url
Easy Stapler With 50 Staple,AED 25.00,Natural,,"Featuring an elegant design, the easy stapler with 50 staple is portable and can be carried in your handbag for multiple utilities. This stapler can be used to staple with a light force and is easy for women to use. It has the capacity to staple about 20 sheets of copy paper are bound. The stapler can store 100 needles. Perfect for desktop use at work office, at home, or in the classroom, it is a great addition to your stationery kit.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:fd66b298-dbbd-4833-bdbe-d77c7b8acd59/as/SK-J-4548076151777.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-easy-stapler-50-staple-natural.html
"5 Mm Grid Graph Ruled Line Loose-Leaf, 20 Holes, 100 Sheets, A5, White",AED 9.00,White,,"Great for drawing graphs, scales, writing, taking notes, or any other similar uses, the 5 mm grid graph ruled line loose-leaf is a perfect choice. To provide a superior writing experience, the quality of the paper has been greatly enriched. These A5 size papers are ideally used at offices, schools, colleges, homes and a number of other places where there is a need for drawing or sketching graphs.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:24be30bd-e09f-4961-ba24-a6dce0b3a841/as/SK-J-4547315265060.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-5-mm-grid-graph-ruled-line-loose-leaf-20-holes-100-sheets-a5-white-white.html
"Plastic Eraser, S, White",AED 5.00,White,,"Convenient shape and premium quality make this plastic eraser highly effective in cleaning and erasing graphite and black lead pencils. It comes with a sliding sleeve for convenient handling. With first-class erasing performance, it offers practically residue-free erasing. This S size plastic eraser comes in white colour. Extra soft and smooth, it is suitable for art, office or school",https://media.alshaya.com/adobe/assets/urn:aaid:aem:a68a5168-de0e-4528-a890-e3956bfcfb51/as/SK-J-4945247421323.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-plastic-eraser-s-white-white.html
"Kraft Envelope, 20 Sheets, W 7 X L 10.5 Cm, Beige",AED 7.00,Beige,,"Made with plain kraft base papers, these sturdy beige coloured kraft envelopes have a rustic and elegant look. Perfect for using as an invitation envelope, it can be used to organize small documents, bills and letters at the office or home. Also, it is great for mailing pictures, postcards, invitations, announcements, or customized wedding envelopes. With a perfect size of 70 x 105 mm, it is great for multipurpose utility.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:43d7f192-0aa1-4439-93b8-52ff8902b89d/as/SK-J-4945247210217.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-kraft-envelope-20-sheets-w-7-x-l-105-cm-beige-beige.html
"Gel Ink Cap Type Ballpoint Pen, 0.5 Mm, Red",AED 12.00,Red,,"Explore the other side of writing using this gel ink ballpoint pen cap type to sketch or draft any assignment and notes. Ensuring precise writing, the 0.5 mm tip grants unparalleled writing in vibrant red colour. Made from polypropylene, the visible barrel makes it convenient to know the remaining ink. Featuring a pen cap, this gel ink ballpoint pen can be conveniently kept in the pocket or attached to the book.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:7847c5d2-3524-44ad-8dcb-24e9fcd86c5a/as/SK-J-4550002796808.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-cap-type-ballpoint-pen-05-mm-red-red.html
"Gel Ink Cap Type Ballpoint Pen, 0.38 Mm, Blue",AED 12.00,Blue,,"Keep this gel ink ballpoint pen cap type in your purse, stationery collection or bag to write in desired colours. The 0.38 mm tip reduces smearing so that you can focus on your writing in vibrant blue colour. Made from polypropylene, the visible barrel makes it convenient to know the remaining ink. Featuring a pen cap, this gel ink ballpoint pen can be conveniently kept in the pocket or attached to the book.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:82a5a52c-374b-45d2-a973-24c21fe902b0/as/SK-J-4550002794286.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-cap-type-ballpoint-pen-038-mm-blue-blue.html
"Gel Ink Knock Type Ballpoint Pen, 0.5 Mm, Dark Blue",AED 12.00,Dark Blue,,"Offering a super-smooth writing experience, the smooth gel ink ballpoint pen knock type is perfect for shading and lettering in shining colours. With its advanced engineered 0.5 mm tip, this pen offers smooth writing in a vibrant blue-black colour. With the top made from polycarbonate and the tip from ABS resin spring, the semi-transparent body is convenient to know how much ink remains. The retractable feature offers easy utility to retract the tip automatically with just a click.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:38e08fad-7f6e-4df6-8b03-d67c213f76a8/as/SK-J-4550002794200.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-knock-type-ballpoint-pen-05-mm-dark-blue-dark-blue.html
"Gel Ink Knock Type Ballpoint Pen, 0.5 Mm, Blue",AED 12.00,,,"Bring much more fun to your writing with the smooth gel ink ballpoint pen knock type that is ideal for writing, drawing, sketching, etc. The 0.5 mm tip ensures an exceptionally smooth, comfortable writing experience in vibrant blue colour. With the top made from polycarbonate and the tip from ABS resin spring, the semi-transparent body is convenient to know how much ink remains. The retractable feature offers easy utility to retract the tip automatically with just a click.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:dccfb8bb-e1cd-430f-a994-f1a75fe947cd/as/SK-J-4550002794132.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-knock-type-ballpoint-pen-05-mm-blue-blue.html
"Gel Ink Knock Type Ballpoint Pen, 0.5 Mm, Sakura",AED 12.00,Sakura,,"The bright colours and high-quality ink of this smooth gel ink ballpoint pen knock type write perfectly on all sort of papers and is excellent for everyday use. Engineered to perfection, the 0.5 mm tip ensures exceptionally smooth, comfortable writing that glides smoothly across the paper in a vibrant sakura colour. With the top made from polycarbonate and the tip from ABS resin spring, the semi-transparent body is convenient to know how much ink remains. The retractable feature offers easy utility to retract the tip automatically with just a click.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:c907b13f-b7d5-42d1-8e9d-9f19124d5df5/as/SK-J-4550002794194.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-knock-type-ballpoint-pen-05-mm-sakura-sakura.html
"Gel Ink Knock Type Ballpoint Pen, 0.5 Mm, Orange",AED 12.00,Orange,,"Write your assignments at school or pen down your thoughts with the smooth gel ink ballpoint pen K. It is a ballpoint pen that has a knock type body with an original design. This gel ink ballpoint pen features a 0.5 mm tip for a precise writing experience. The orange ink colour is great for doing your project at school, home, or office. All bodies and refills of this gel ink ballpoint pen can be refilled and used.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:e4bcd57d-5a60-4679-81e1-569ca9fcc085/as/SK-J-4550002794095.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-knock-type-ballpoint-pen-05-mm-orange-orange.html
"Aluminium Ruler, 15 Cm, Silver",AED 15.00,Silver,,"Accuracy and precision meet elegance in this aluminium ruler that shows clear, non-confusing graduations etched in readable markings. This 15 cm aluminium ruler is rust-proof, durable, and sturdy. The uncoloured aluminium material is used as it is. Since the scale is engraved, it will not disappear even if it is used for a long time. Made of durable aluminium, it is also suitable for cutter work.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:3c4bd4f3-1243-4328-a306-3e86d7c83a01/as/SK-J-4550002555764.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-aluminium-ruler-15-cm-silver-silver.html
"Memo Pad Notebook, 200 Sheets, 140 X 100 Mm, Natural",AED 12.00,Natural,,"One of the top must-have work essentials; the paper memo pad helps to jot down important details while on the go. The 140 x 100 mm size is so handy that you can carry it just about anywhere. Easy to tear and top glued, it can be used to share information and notes with your team instantly. This memo pad notebook contains 200 sheets and designed to eliminate wasteful processing and decoration.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:0ce69900-1bb7-4af6-b7cd-3423b2da45b0/as/SK-J-4550002555641.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-memo-pad-notebook-200-sheets-140-x-100-mm-natural-natural.html
"Card Size Sticky Pocket, 1 Pocket X 2 Discs, 65 X 95 Mm, Clear",AED 7.00,Clear,,"Keep important cards visible in your office, school and home by inserting your cards into the sticky pocket / card size and retrieve them whenever you need them. Made from high-quality vinyl chloride resin, it lasts longer with better durability. This semi-transparent pocket sticker features card size 1 pocket x 2 discs. This is an adhesive sticker type pocket that can be attached to notebooks and notebooks. It comes in a set of 2 cart sizes.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:65e3611b-9296-48c7-801b-9f6a223fa51f/as/SK-J-4550002185251.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-card-size-sticky-pocket-1-pocket-x-2-discs-65-x-95-mm-clear-clear.html
"Twine, 100 M",AED 29.00,Natural,,"Multi-purpose in utility, this jute twine is ideal for use in gardening and recycling, and DIY packing, room decoration, binding and so on. Made of natural jute fibre, the jute twine is biodegradable and made from vegetable soybean oil, which is safe to the environment. Available in 100 m length, this natural jute rope is durable and long enough for you to use.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:796043c4-2e59-4e9c-9fb8-ceff99e65bd3/as/SK-J-4549738744016.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-twine-100-m-natural.html
"Water-Based Brush Pen Set, 12 Colors, Multicolor",AED 59.00,Multi,,"Ideal for drawing, painting, calligraphy, or lettering, the water-based brush pen set is a great value set of 12 brush pens. Each pen contains high-quality water-based ink that helps to create soft shades by soaking the brush tips with water or by moistening the paper. Convenient to use, it blends and layers easily to make new colours or beautiful gradient designs.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:58cd57eb-1db4-4a08-872a-e5877c777b36/as/SK-J-4549337513686.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-water-based-brush-pen-set-12-colors-multicolor-multicolor.html
"Polypropylene Knock Highlighter Pen, Aqua Blue",AED 12.00,Aqua Blue,,"The easy glide action and the versatile chisel tip of this polypropylene knock highlighter pen are great for highlighting, underlining or writing notes. The special construction of its knock-type helps to use it with single-handed operation. Adding to the advantage is the knock-type that does not require the removal of the cap. The special ink, in aqua blue colour, does not bloat, bleed, and quickly dries for a great writing experience.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:21e2fc7b-4aa3-4148-a9b4-acf8ccfe7751/as/SK-J-4548718121953.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-polypropylene-knock-highlighter-pen-aqua-blue.html
"Soft Brush Pen, W 1.5 X L 13.57 Cm, Black",AED 19.00,Black,,"With a pleasant grip and an extremely easy to handle feeling, this soft brush pen is great for writing with ease. Elegantly designed with a soft brush tip that is easy to write, it helps you to bring the artistic side in you to achieve beautiful effects. This soft brush pen features a dimension of 15 x 135.7 mm and comes in black colour. Durable and long-lasting, it is made from polypropylene that grants a sturdiness for enhanced performance.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:c0057488-d5ab-4e26-821d-40c4c1f5b268/as/SK-J-4548076007074.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-soft-brush-pen-w-15-x-l-1357-cm-black-black.html
"Horizontal 7 Mm Ruled Line Loose-Leaf, 30 Holes, 100 Sheets, A4, White",AED 25.00,White,,"Especially helpful in the purpose of writing and filing, the horizontal ruled line loose-leaf comes in handy in schools, colleges, offices and homes. Made with the intention of delivering the best writing experience, the paper quality is hard to strike through. Ideally suited for writing, the A4 paper is made from high-quality paper that does not bloat, making it even more convenient for the users.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:180102ec-f2e9-4a9f-b832-860bcaa65c94/as/SK-J-4547315265015.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-horizontal-7-mm-ruled-line-loose-leaf-30-holes-100-sheets-a4-white-white.html
"5 Mm Grid Graph Ruled Line Loose-Leaf, 30 Holes, 100 Sheets, A4, White",AED 15.00,White,,"The 5 mm grid graph ruled line loose-leaf is of premium quality and hence a great choice for the users. In an addition to this, the hole punch provided makes it easy to attach in any binder or file. Specifically, to improve your writing experience, the paper quality has been improvised. These A4 sheets are great for note-taking, technical, and engineering drawing.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:7c9342c9-f90c-4426-bd2a-2e37bd7955d6/as/SK-J-4547315265046.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-5-mm-grid-graph-ruled-line-loose-leaf-30-holes-100-sheets-a4-white-white.html
"Horizontal 6 Mm Ruled Line Loose-Leaf, 20 Holes, 200 Sheets, A5, White",AED 15.00,White,,"Grab this horizontal ruled line loose-leaf that are smooth and buttery. Best for writing school assignments or making a project report at the office, these papers can be filed easily with the punched holes provided. For a great writing experience, the papers are made of high quality that does not smudge or bloat. These A5 papers are a wonderful addition to your office stationery or at home.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:2fc63978-d7db-4aa0-b95f-4764371397d0/as/SK-J-4547315265039.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-horizontal-6-mm-ruled-line-loose-leaf-20-holes-200-sheets-a5-white-white.html
Acrylic Picture Frame For Medium B3 Size,AED 69.00,Clear,,"Create an elegant atmosphere in your living room with this acrylic picture frame for medium B3 size that helps to those wonderful moments of joy. Made from a high-quality transparent acrylic plate that does not fade or turn even after years of use, it fits the standard size photos with high versatility. This B3 acrylic frame grants a modern simple style, beautiful and affordable.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:c1ad0a51-31de-4b57-bd5a-24a45ff2691a/as/SK-J-4945247913620.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-acrylic-picture-frame-medium-b3-size-clear.html
"Polypropylene Cover With Double Ring Memo, 40 Sheets, A7, White",AED 12.00,White,,"Convenient for school, home, or office use, the polypropylene cover with double ring memo is a versatile memo book that comes in handy to you at any time. The durable polypropylene used for the cover material protects the notebook from getting soiled. The high-quality papers do not bloat and help to write smoothly. Jot down the points to remember or take notes on the go in this A7 size memo pad that is sturdily built with double ring binding.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:520505be-1444-48aa-a02f-1c262c85d11b/as/SK-J-4934761185927.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-polypropylene-cover-double-ring-memo-40-sheets-a7-white-white.html
"Gel Ink Cap Type Ballpoint Pen, 0.7 Mm, Blue",AED 12.00,Blue,,"Gel ink ballpoint pen cap type ensures that you write beautifully with its smooth writing performance. With its advanced ink flow system, this gel ink ballpoint pen promises smudge-free writing always. The minimalistic design with a simple cap design makes the cap firmly cover the tip. The 0.7 mm blue coloured ballpoint pen comes with strong construction from polypropylene that makes it durable.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:797c525b-c61a-4a56-8a0a-5a9827670c00/as/SK-J-4550002796907.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-cap-type-ballpoint-pen-07-mm-blue-blue.html
"Gel Ink Knock Type Ballpoint Pen, 0.5 Mm, Asagi",AED 12.00,Asagi,,"An important addition to your stationery kit, this smooth gel ink ballpoint pen knock type helps to outline or draw colourful visible lines in your classwork or post-it notes. The 0.5 mm tip ensures an exceptionally smooth, comfortable writing experience in a vibrant Asagi colour. With the top made from polycarbonate and the tip from ABS resin spring, the semi-transparent body is convenient to know how much ink remains. The retractable feature offers easy utility to retract the tip automatically with just a click.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:681e8fdc-0aba-4416-88aa-0d46b2f8f5ca/as/SK-J-4550002794156.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-gel-ink-knock-type-ballpoint-pen-05-mm-asagi-asagi.html
"Oil-Based Marker Twin Thin, Fine, Black",AED 9.00,Black,,"Create bold marks and clean lines with the oil-based ink twin tip permanent marker. The black coloured oil-based ink is specially made to offer a permanent writing solution. This permanent marker works on almost any surface. It can be used to highlight or write on photos, plastic, cellophane, wood, stone, metal, or glass. The oil-based ink dries quickly and offers excellent water resistance. It is an environmentally friendly alcohol-based solvent that can be used for both fine and ultra-fine particles.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:a321e65b-da8e-4c91-a465-124bba693b5c/as/SK-J-4550002555658.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-oil-based-marker-twin-thin-fine-black-black.html
"One-Side Translucent Pocket Folder, 120 X 190 Mm, Dark Grey",AED 9.00,Dark Grey,,"The one-side translucent pocket folder comes in handy on many occasions when you need to keep a different set of articles in the varied pack for convenience. 121 x 190 mm, this pocket let you keep cash, cosmetics or travel accessories and more. Crafted from high-quality vinyl chloride resin, this dark grey pocket comes with heavy-duty durability. It is convenient for storing small accessories such as pens and sticky notes. With one side clear, it is convenient to see whatever is inside at a glance.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:c4d8cff3-91e2-46c4-8f8c-11bfb5d63c32/as/SK-J-4550002553227.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-one-side-translucent-pocket-folder-120-x-190-mm-dark-grey-dark-grey.html
"Smooth Sharp Core HB 0.5 Mm Mechanical Pencil Leads, 40 Pieces",AED 12.00,Natural,,"When it comes to replacement leads for your mechanical pencils, the smooth sharp core HB 0.5 mm mechanical pencil leads is the right choice. Giving you a more convenient writing experience, these leads are made of high quality that makes them sharp and is hard to break. It is available as a set of 40 Pieces and comes in a special kraft paper packing.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:8cc928c1-6642-407b-9628-696e1660d8b0/as/SK-J-4549337318625.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-smooth-sharp-core-hb-05-mm-mechanical-pencil-leads-40-pieces-natural.html
"Highlighter Pen, With Window, Green",AED 9.00,GREEN,,"Suitable to accent reading books, bullet journals, assorted planners, textbooks, magazines, or other office and school notebooks, the highlighter pen is the smart choice for all purposes. With a little window in the pen tip that helps to keep the tip clean, and it is an easy-to-mark highlighter pen. With its superior ink formula that is specially formulated, highlight without bloating on any type of paper, notebook and textbook. Markdown the text or highlight them in a colour you would love the most, green colour.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:e4485599-7fff-46e7-b12a-582cf669d99f/as/SK-J-4548718654567.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-highlighter-pen-window-green-green.html
"Highlighter Pen, With Window, Blue",AED 9.00,Blue,,"Most commonly used for highlighting, a highlighter pen is not only used for underlining, but also for character writing, or as a colour pen for character writing. Provided with a little window in the pen tip, it helps to maintain the tip immaculate and is a highlighter pen that is easy to mark. The colour of your choice, blue can be illustrative to remark the text with a special note.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:be145536-b637-4680-9669-dc9dfcf551e6/as/SK-J-4548718654550.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-highlighter-pen-window-blue-blue.html
"Wooden Shaft Hexagonal Ballpoint Pen, 0.5 Mm",AED 29.00,Natural,,"Featuring an exclusive design and pattern, the wood mechanical pen natural is finished with a wooden shaft texture for a visually enticing appeal. The hexagonal shape allows for an easy grip to hold and write. The wooden shaft hexagonal ballpoint pen supports 0.5 mm thickness lead. This neutral ballpoint pen is made from the natural wood body and brass metal part making it durable and long-lasting.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:a7be1640-f44c-4057-9170-ffa148f68788/as/SK-J-4548718281190.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-wooden-shaft-hexagonal-ballpoint-pen-05-mm-natural.html
"High Lighter Pen, Orange",AED 12.00,Orange,,"Great for highlighting, underlining or writing notes, this highlighter pen comes with quick-drying ink that is non-fading, non-bleeding and non-bloating. Designed as a push-type, this highlighter pen can easily be used with single-handed operation. The refills can be replaced with the appropriate polypropylene push-type highlighter pen (orange) refills. It marks in a vibrant orange colour that looks great. The clip type pen is easy to carry in your pocket or pouch.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:cae2ae67-e399-4f67-97d5-5f1cf9fbfa01/as/SK-J-4548718121922.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-high-lighter-pen-orange-orange.html
"Aluminium 8-Digit Calculator, W 6.9 X D 11.5 X T 0.7 Cm, Silver",AED 59.00,Silver,,"The convenient size of the aluminium 8-digit calculator makes it ideal for desktop or portability. Featured with big buttons, it is easy to input and calculates efficiently and precisely. Featuring an 8-digit display that is big enough for better visibility, the front panel of this aluminium calculator is made from a high-grade aluminium that is sturdy and durable. This calculator features a dimension of W 69 x D 115 x T 7 mm. Aesthetically appealing in a beautiful silver colour, it does not compromise on the trend also.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:c516de5b-02d9-48dd-afdf-4ee4aa8ba0ac/as/SK-J-4547315568086.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-aluminium-8-digit-calculator-w-69-x-d-115-x-t-07-cm-silver-silver.html
"Steel Staples, 1000 Pieces, Pack Of 2, Brown",AED 12.00,BROWN,,"Made of heavy-duty, corrosion-resistant steel, these steel staples will last you a long time. Ideal to hold office papers together, it also helps in holding a fabric, crafts, and anything else secure. Designed to use with the recommended acrylic stapler, it is available in 2 boxes of 1000 staples. Meeting the diverse needs, it can be used at the home, office, school, or anywhere stapling is needed.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:bc2f3313-6d55-4284-a28f-9d6f11c16215/as/SK-J-4547315040810.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-steel-staples-1000-pieces-pack-2-brown-brown.html
"Pet Cutting Ruler, Anti Slip, 30 Cm",AED 25.00,Clear,,"Designed with clear inch and metric graduations for measuring correctly, this pet cutting ruler makes it easy to measure and work for engineering, drawing, woodworking, etc. Equipped with the anti-slip feature, it helps to improve work efficiency, making it easy to draw lines and cut. Available in 30 cm this clear scale is made from stainless steel for better performance and longer utility.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:4dd780b7-2e00-44a7-a1f2-cce2a18b6eee/as/SK-J-4934761388281.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-pet-cutting-ruler-anti-slip-30-cm-clear.html
"Acrylic Frame, Twin Type, W 19 X D 4.5 X H 15.3 Cm",AED 29.00,Clear,,"Exceptionally strong and highly functional, the acrylic frame helps to display any photo elegantly in a modern outlook. It has a simple structure using an acrylic plate that is hard to break. A perfect addition to your home or office, it features a dimension of 95 x 135 mm in a crystal clear frame made of high-quality acrylic resin. Great to match with your furniture, wall colour, or the surrounding decor, it helps to enhance the decor of your home.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:141b4ecb-0051-4943-ad70-cbd692cdc209/as/SK-J-4934761479750.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-acrylic-frame-twin-type-w-19-x-d-45-x-h-153-cm-clear.html
"High-Quality Paper Double Ring Notebook With Dot Grid, 70 Sheets, A6, Beige",AED 29.00,Beige,,Enjoy the writing experience in this high-quality paper double-ring notebook with a dot grid that is bestowed with wonderful features of premium quality papers. The A6 notebook comes with a double ring notebook that makes it convenient to keep the notebook flat and write on both sides. The beige coloured notebook comes with minimalistic features making it ideal for meeting events and conferences.,https://media.alshaya.com/adobe/assets/urn:aaid:aem:32c11121-3ee2-4fc0-bfc8-db91b0db7bb4/as/SK-J-4550182603033.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-high-quality-paper-double-ring-notebook-dot-grid-70-sheets-a6-beige-beige.html
"Double Ring Memo, 40 Sheets, A7, Beige",AED 12.00,Beige,,"Jot down the important stuff on this paper wire-bound memo pad, tear it off when needed, and quickly organize your work. Sporting a beige coloured cover, this A7 size memo pad looks simple yet elegant to boast at any meetings. With 40 sheets of high-quality paper in your hands, you can keep writing. A double ring that can be folded back 360 degrees. It can be used from either up, down, left or right.",https://media.alshaya.com/adobe/assets/urn:aaid:aem:9a818e98-f649-4757-a256-a917d7540208/as/SK-J-4550182109689.jpg?width=638&height=638&preferwebp=true,https://www.muji.ae/en/buy-double-ring-memo-40-sheets-a7-beige-beige.html
